date,open,high,low,close,volume,amount
2024-07-08,168.4712,170.7301,167.5141,168.3755,108063.97,1907514420.0
2024-07-09,167.7916,169.706,165.6763,168.2415,164439.15,2876833390.0
2024-07-10,167.5141,172.3765,165.638,165.638,177729.19,3123226777.0
2024-07-11,167.5045,171.314,166.0592,169.4284,208111.48,3678618340.0
2024-07-12,170.2324,173.9845,169.4188,172.0989,195504.6,3523525354.0
2024-07-15,170.6631,172.2425,169.5241,170.4909,114696.96,2041627402.0
2024-07-16,169.8974,172.7689,169.706,171.6203,151487.37,2710034963.0
2024-07-17,170.376,174.8364,168.4042,173.1422,185901.41,3346445646.0
2024-07-18,172.2903,181.0006,171.984,180.2827,319944.01,5957621426.0
2024-07-19,178.3684,181.9482,178.2248,181.326,208476.31,3929663335.0
2024-07-22,183.001,185.863,179.3734,181.4026,171682.52,3259890053.0
2024-07-23,180.9144,181.5749,178.2248,178.2248,119031.04,2233862306.0
2024-07-24,178.0333,180.991,177.4495,178.3396,144681.36,2708577543.0
2024-07-25,178.1482,182.5607,177.1336,179.6892,205958.88,3863507112.0
2024-07-26,181.862,185.0207,179.9955,181.2399,233477.18,4436931315.0
2024-07-29,178.9905,178.9905,172.2903,176.6263,213623.66,3918833598.0
2024-07-30,175.3724,177.392,175.3724,176.9709,127251.63,2349179518.0
2024-07-31,174.2047,178.8757,174.2047,178.3301,198969.4,3690880179.0
2024-08-01,177.0762,178.0333,172.386,172.5775,230126.59,4180640118.0
2024-08-02,171.3332,172.2903,169.17,169.505,154936.85,2753866402.0
2024-08-05,167.5141,172.4722,167.5045,169.4188,193476.59,3451887572.0
2024-08-06,170.7684,171.7065,166.2697,167.4566,157687.03,2771240102.0
2024-08-07,167.4566,168.6818,166.2315,166.2315,127539.59,2230380711.0
2024-08-08,165.5997,166.1645,162.8335,165.0159,146589.96,2520197340.0
2024-08-09,166.1645,167.3801,162.7186,162.7186,154129.89,2646422840.0
2024-08-12,163.2642,163.7907,159.6557,161.7615,174155.81,2934605438.0
2024-08-13,161.6562,167.4662,161.168,166.3367,193892.56,3336604796.0
2024-08-14,165.5806,166.978,164.365,164.834,99662.85,1720375362.0
2024-08-15,164.633,167.1216,163.9534,165.973,144812.02,2511442939.0
2024-08-16,165.973,168.4617,165.4753,166.1836,111506.41,1941327489.0
2024-08-19,165.9252,170.3186,165.7337,168.0788,140358.43,2473581501.0
2024-08-20,167.5045,168.4617,166.2219,167.3801,84369.55,1475662466.0
2024-08-21,166.5473,167.8969,164.633,166.5569,111474.05,1940113038.0
2024-08-22,167.4853,172.2616,166.8345,171.1417,199011.36,3536569764.0
