date,open,high,low,close,volume,amount
2024-07-08,1338.4754,1352.1755,1316.3437,1317.1414,39527.05,5657951348.0
2024-07-09,1317.1414,1349.5042,1307.9585,1333.8654,33620.71,4807957927.0
2024-07-10,1334.9971,1359.6981,1331.0549,1333.4573,23763.22,3436693365.0
2024-07-11,1344.9405,1362.5921,1335.8875,1356.1826,29020.14,4236960596.0
2024-07-12,1366.3116,1378.7317,1359.2992,1371.7008,23386.34,3451132648.0
2024-07-15,1363.5197,1380.2158,1363.5197,1368.0647,19176.26,2835374730.0
2024-07-16,1369.085,1374.6504,1358.9282,1369.085,20316.44,2998367128.0
2024-07-17,1369.1778,1394.1293,1363.5382,1392.6452,34311.01,5115680654.0
2024-07-18,1390.8828,1405.2601,1384.4177,1389.037,28870.39,4337214601.0
2024-07-19,1382.8223,1418.4129,1376.5148,1415.1108,38942.91,5888615145.0
2024-07-22,1414.5635,1419.155,1383.6014,1390.419,28543.21,4300813310.0
2024-07-23,1390.419,1392.2742,1349.6062,1349.6062,30943.96,4555460198.0
2024-07-24,1345.1539,1357.676,1331.0549,1335.7113,24122.55,3490200973.0
2024-07-25,1335.7113,1343.1132,1317.1507,1326.8716,28346.56,4054086714.0
2024-07-26,1326.8716,1333.5779,1308.7006,1319.1728,32353.79,4594928574.0
2024-07-29,1312.5036,1318.9873,1296.735,1296.7536,30869.07,4342610100.0
2024-07-30,1285.5857,1289.5649,1262.6934,1280.0296,51779.04,7103491566.0
2024-07-31,1273.6387,1323.8848,1273.6387,1318.3287,43272.32,6098149721.0
2024-08-01,1315.2863,1317.1414,1284.3984,1285.7527,32038.1,4470988088.0
2024-08-02,1274.1024,1295.7796,1274.1024,1285.0941,21927.69,3041726372.0
2024-08-05,1288.2756,1322.7068,1285.159,1307.8751,37736.07,5327127147.0
2024-08-06,1318.9966,1320.8517,1293.034,1302.9497,27444.33,3860735014.0
2024-08-07,1303.6918,1318.9873,1297.0133,1312.9674,20622.21,2910580747.0
2024-08-08,1308.7934,1343.2802,1306.9382,1327.0571,25130.82,3592705430.0
2024-08-09,1354.2718,1362.5921,1332.7245,1332.7245,30138.49,4368705515.0
2024-08-12,1326.4171,1338.4754,1323.2448,1332.0752,13632.03,1956573438.0
2024-08-13,1329.1998,1331.0549,1309.7302,1319.9334,16308.43,2317037756.0
2024-08-14,1319.9334,1321.6865,1309.7395,1310.9268,13414.31,1898377426.0
2024-08-15,1303.2558,1331.9732,1302.254,1323.5324,23038.97,3275699572.0
2024-08-16,1323.4396,1331.9083,1314.368,1327.5302,16454.7,2349825846.0
2024-08-19,1328.2722,1353.2051,1321.7793,1322.1874,20432.79,2942106435.0
2024-08-20,1326.3243,1326.3522,1311.576,1319.6644,18591.38,2644814344.0
2024-08-21,1317.1414,1324.5434,1313.1436,1314.8967,15091.65,2144746551.0
2024-08-22,1313.4312,1317.1414,1298.5994,1307.9122,19527.29,2750868073.0
2024-08-23,1306.0107,1320.3879,1304.2668,1312.4943,15320.46,2166499202.0
2024-08-26,1314.3587,1320.7218,1301.512,1309.7209,15628.41,2207595461.0
2024-08-27,1309.7209,1310.6485,1299.6197,1302.3653,13657.4,1920770570.0
2024-08-28,1302.3653,1304.1555,1275.401,1288.3869,31663.51,4388025875.0
2024-08-29,1280.0389,1315.2863,1280.0389,1310.9268,27471.61,3864270621.0
2024-08-30,1310.6485,1352.4538,1303.228,1338.6517,38739.23,5576118649.0
