date,open,high,low,close,volume,amount
2024-07-08,13.47,13.48,12.99,13.05,97638.81,128665051.0
2024-07-09,13.05,13.66,12.9,13.63,145432.12,193977952.0
2024-07-10,13.56,13.94,13.51,13.69,113189.92,155724927.0
2024-07-11,13.63,13.71,12.81,13.1,408173.57,534630900.0
2024-07-12,12.98,12.99,12.51,12.62,254684.76,322852152.0
2024-07-15,12.51,12.6,12.34,12.44,122723.94,152694806.0
2024-07-16,12.39,12.64,12.33,12.56,115519.3,144325530.0
2024-07-17,12.52,12.65,12.35,12.42,100639.0,125436254.0
2024-07-18,12.27,12.47,12.1,12.37,125152.5,153430641.0
2024-07-19,12.29,12.65,12.27,12.52,124463.04,155531677.0
2024-07-22,12.54,12.67,12.45,12.59,107858.87,135625202.0
2024-07-23,12.65,12.69,12.15,12.17,110585.47,136871712.0
2024-07-24,12.03,12.23,11.94,11.96,97986.8,118173382.0
2024-07-25,11.92,12.25,11.88,12.04,88191.0,106381022.0
2024-07-26,12.08,12.42,12.08,12.34,132255.57,162639284.0
2024-07-29,12.35,12.38,12.13,12.17,81263.5,99185291.0
2024-07-30,12.1,12.47,11.96,12.29,104930.42,128366556.0
2024-07-31,12.29,13.28,12.28,13.27,297974.25,385111133.0
2024-08-01,13.42,13.67,13.22,13.52,300605.41,404018282.0
2024-08-02,13.35,13.58,13.14,13.18,164962.52,220347987.0
2024-08-05,13.06,13.4,12.83,12.83,160428.41,210178015.0
2024-08-06,13.09,13.25,12.77,13.0,117442.0,152471379.0
2024-08-07,13.09,13.3,12.94,12.96,119993.9,156933900.0
2024-08-08,12.89,12.98,12.58,12.87,104193.44,133229685.0
2024-08-09,12.98,13.09,12.77,12.77,84291.0,109121277.0
2024-08-12,12.77,12.81,12.52,12.62,67251.0,84937345.0
2024-08-13,12.57,12.71,12.44,12.68,70615.0,88940585.0
2024-08-14,12.68,12.73,12.45,12.54,60108.56,75577231.0
2024-08-15,12.48,13.07,12.47,12.93,162006.13,208659155.0
2024-08-16,12.86,13.05,12.81,12.82,92793.43,119849792.0
2024-08-19,12.76,13.04,12.76,12.84,90482.8,116780575.0
2024-08-20,12.81,12.83,12.4,12.46,98723.04,123782379.0
2024-08-21,12.49,13.1,12.46,12.5,152571.91,193536505.0
2024-08-22,12.44,12.55,12.05,12.08,127638.92,155911332.0
2024-08-23,12.06,12.15,11.94,12.09,80608.0,97109092.0
2024-08-26,12.27,12.43,12.07,12.12,82327.0,100796026.0
2024-08-27,12.01,12.04,11.63,11.66,118729.0,139515622.0
2024-08-28,11.62,11.95,11.55,11.79,82272.02,96802564.0
2024-08-29,11.72,12.41,11.68,12.24,137422.15,166975303.0
2024-08-30,12.1,12.41,11.86,12.14,221203.91,269937835.0
2024-09-02,12.11,12.16,11.75,11.75,113202.0,134907515.0
2024-09-03,11.81,12.18,11.76,12.03,95839.54,114870935.0
2024-09-04,11.91,12.21,11.89,12.07,77074.0,93001129.0
2024-09-05,12.1,12.34,12.07,12.21,79722.47,97511140.0
2024-09-06,12.2,12.28,11.91,11.93,60409.82,72616649.0
2024-09-09,11.92,12.04,11.78,11.9,61453.29,73115056.0
2024-09-10,11.95,12.08,11.71,12.01,69006.2,81980039.0
2024-09-11,11.96,12.12,11.87,12.05,63810.67,76693930.0
2024-09-12,12.08,12.25,11.92,11.93,63133.0,76388614.0
2024-09-13,11.98,11.98,11.68,11.7,63951.0,75414565.0
2024-09-18,11.7,11.76,11.42,11.6,59077.0,68343258.0
2024-09-19,11.7,12.23,11.62,12.06,118997.83,142674312.0
2024-09-20,12.06,12.08,11.87,12.01,72042.34,86179339.0
2024-09-23,12.03,12.08,11.87,11.89,51748.37,61716563.0
2024-09-24,11.98,12.52,11.92,12.5,177064.1,217194734.0
2024-09-25,12.61,12.96,12.54,12.54,174878.0,222904879.0
2024-09-26,12.51,13.2,12.51,13.2,202838.68,261605972.0
2024-09-27,13.4,14.18,13.35,14.08,270575.68,372029725.0
2024-09-30,14.93,15.49,14.56,15.49,436110.16,660776973.0
2024-10-08,17.04,17.04,15.58,16.87,491623.7,815288636.0
2024-10-09,16.31,16.31,15.18,15.18,423396.85,665459364.0
2024-10-10,15.26,15.58,14.75,14.76,266480.79,402920010.0
2024-10-11,14.93,14.93,13.69,13.87,238867.36,338377986.0
2024-10-14,13.95,14.41,13.59,14.39,211635.19,297117658.0
2024-10-15,14.32,14.6,14.01,14.02,183934.9,262514200.0
2024-10-16,13.78,14.22,13.72,13.97,132709.0,185609246.0
2024-10-17,13.99,14.3,13.9,13.91,136076.5,192077025.0
2024-10-18,13.85,14.94,13.85,14.6,258611.84,373500300.0
2024-10-21,14.8,15.13,14.72,14.81,253430.08,377787765.0
2024-10-22,14.9,15.36,14.65,15.24,290544.08,438015778.0
2024-10-23,15.24,15.32,15.0,15.05,202828.35,307411802.0
2024-10-24,14.92,15.2,14.9,14.98,161733.97,242865127.0
2024-10-25,15.05,15.33,14.92,15.18,166721.0,252315653.0
2024-10-28,15.11,15.17,14.96,15.11,155122.18,233714150.0
2024-10-29,15.25,15.41,14.85,14.88,220856.81,333260542.0
2024-10-30,14.73,15.2,14.71,14.94,173150.9,259269342.0
2024-10-31,14.86,15.17,14.65,15.16,244716.57,366815811.0
2024-11-01,15.26,15.26,14.57,14.66,214585.0,318389426.0
2024-11-04,14.86,16.13,14.85,16.13,296903.28,472170940.0
2024-11-05,17.03,17.5,16.5,17.24,1117601.98,1892505948.0
2024-11-06,17.32,18.0,16.95,17.35,999254.36,1748492058.0
2024-11-07,17.0,17.34,16.7,17.0,538803.42,913671930.0
2024-11-08,17.33,18.29,17.2,17.48,657612.01,1167978532.0
2024-11-11,17.55,18.52,17.52,18.14,599023.32,1084229123.0
2024-11-12,18.3,18.59,17.7,17.89,481275.99,870268629.0
2024-11-13,17.8,17.86,17.02,17.75,376185.59,657008218.0
2024-11-14,17.75,17.91,17.02,17.06,263417.96,458836933.0
2024-11-15,17.1,17.6,16.92,17.22,406178.87,699784722.0
2024-11-18,17.09,17.34,16.16,16.28,344626.69,574157514.0
2024-11-19,16.28,17.5,16.28,17.45,456152.45,775068950.0
2024-11-20,17.45,18.47,17.35,18.18,762607.68,1385962241.0
2024-11-21,17.99,18.28,17.58,17.84,419600.59,749081452.0
2024-11-22,17.84,18.11,17.23,17.3,400205.0,710568037.0
2024-11-25,17.18,17.53,16.79,17.3,305223.19,521391579.0
2024-11-26,17.17,17.25,16.65,16.69,295992.63,499395957.0
2024-11-27,16.51,17.0,16.15,16.99,278306.43,458895301.0
2024-11-28,16.99,16.99,16.53,16.57,199689.7,334082905.0
2024-11-29,16.48,18.23,16.45,18.23,525175.58,925255389.0
2024-12-02,18.66,19.9,18.6,19.3,1042210.86,2003571933.0
2024-12-03,19.29,19.54,18.91,19.02,681960.5,1310014505.0
2024-12-04,18.8,20.66,18.73,19.82,948775.67,1875346170.0
2024-12-05,19.63,20.6,19.52,19.78,821755.4,1642316603.0
2024-12-06,19.72,21.3,19.01,20.29,952432.01,1891789271.0
2024-12-09,20.26,21.0,19.95,20.38,830616.35,1698624290.0
2024-12-10,21.03,22.38,20.47,21.38,1009205.83,2158822803.0
2024-12-11,21.1,21.1,20.0,20.6,735060.75,1508979224.0
2024-12-12,20.3,20.73,19.9,20.17,522159.73,1051928572.0
2024-12-13,19.9,20.29,19.62,19.62,443742.39,881909255.0
2024-12-16,19.5,19.89,19.16,19.31,326243.9,633708788.0
2024-12-17,19.19,19.4,18.62,18.67,333316.59,631007455.0
2024-12-18,18.82,19.0,18.53,18.79,283571.02,532936203.0
2024-12-19,18.57,19.39,18.5,19.31,432835.29,829596749.0
