date,open,high,low,close,volume,amount
2024-07-08,29.8329,30.1678,29.7096,29.9563,545730.02,1855611836.0
2024-07-09,29.9563,30.4499,29.7184,30.3794,621037.01,2124005154.0
2024-07-10,30.3794,30.8465,30.3617,30.5644,726314.24,2524474646.0
2024-07-11,30.91,30.9567,30.639,30.7418,732388.96,2411951386.0
2024-07-12,30.8446,31.8444,30.8446,31.7697,944904.25,3199683547.0
2024-07-15,31.7697,31.8164,31.508,31.5641,474603.66,1605883747.0
2024-07-16,31.5454,31.6669,31.2651,31.5734,455792.55,1535668998.0
2024-07-17,31.4893,31.9472,31.4426,31.8351,577954.22,1964635267.0
2024-07-18,31.8351,32.0033,31.5454,31.8538,598627.17,2036474280.0
2024-07-19,31.7697,32.05,31.3866,32.0033,810072.18,2749172010.0
2024-07-22,31.9285,31.9285,30.9194,31.153,808205.77,2694241975.0
2024-07-23,31.153,31.4987,31.0502,31.153,538754.68,1803269600.0
2024-07-24,31.2557,31.3772,30.8633,31.0034,482452.94,1604648703.0
2024-07-25,31.0408,31.1343,30.2466,30.6764,762078.54,2496804673.0
2024-07-26,30.6484,30.8726,30.0036,30.2466,601461.67,1952156132.0
2024-07-29,30.2559,30.5082,30.0877,30.3213,413475.33,1343740115.0
2024-07-30,30.2746,30.4522,30.041,30.2933,390781.61,1264925929.0
2024-07-31,30.2933,30.8353,30.1345,30.583,595369.65,1948675368.0
2024-08-01,30.583,30.6951,30.1531,30.5643,409138.81,1332771463.0
2024-08-02,30.2933,30.4615,30.1158,30.1625,386130.24,1250037017.0
2024-08-05,30.0877,30.3867,29.9476,29.9943,584419.84,1884940815.0
2024-08-06,30.2372,30.2653,29.443,29.6205,514388.64,1637765272.0
2024-08-07,29.6486,29.8074,29.4804,29.5084,390731.73,1238023516.0
2024-08-08,29.5364,29.8822,29.3215,29.8354,394599.78,1252394782.0
2024-08-09,29.8728,30.4428,29.7233,30.2092,482748.47,1561254687.0
2024-08-12,30.1812,30.2186,29.8354,30.013,318943.21,1023447632.0
2024-08-13,29.9943,30.1158,29.6766,29.8448,282377.69,902009896.0
2024-08-14,29.8074,30.0317,29.7233,29.77,282446.1,901196911.0
2024-08-15,29.7607,30.7605,29.5738,30.611,739789.83,2409557383.0
2024-08-16,30.6017,31.0689,30.5736,30.9754,418503.02,1383877362.0
2024-08-19,31.0689,31.3025,30.8633,31.2277,422843.42,1409948503.0
2024-08-20,31.2557,31.3959,30.9848,31.2838,423728.73,1415473211.0
2024-08-21,31.1156,31.237,30.6671,31.0595,378101.05,1254587421.0
2024-08-22,31.0969,31.3492,31.0034,31.1156,382863.99,1276718683.0
2024-08-23,31.0875,31.6295,30.9007,31.4893,465587.26,1561509818.0
2024-08-26,31.4893,31.6202,31.2744,31.5547,351174.6,1182990040.0
2024-08-27,31.5547,31.7136,31.3305,31.4893,387208.57,1308314397.0
2024-08-28,31.6108,31.751,31.2464,31.4706,415232.08,1398682394.0
2024-08-29,31.3866,31.5547,30.7418,30.7698,516387.82,1712021359.0
2024-08-30,30.6484,30.938,30.013,30.041,1112229.83,3618077500.0
2024-09-02,29.9009,30.2559,29.7514,29.8354,558020.65,1787602792.0
2024-09-03,29.9102,29.9756,29.3402,29.5458,505751.88,1596269780.0
2024-09-04,29.4617,29.8354,29.2935,29.3028,380525.9,1198859446.0
2024-09-05,29.3028,29.3776,28.873,29.1533,542063.45,1687017960.0
2024-09-06,29.2001,29.6579,29.1533,29.2001,383182.14,1206615762.0
2024-09-09,28.9478,28.9571,28.0694,28.2563,871073.47,2641195521.0
2024-09-10,28.2657,28.4338,27.976,28.2096,476023.57,1435849555.0
2024-09-11,28.1629,28.2189,27.9666,28.1068,415793.76,1249059023.0
2024-09-12,28.1255,28.4993,27.976,28.247,410266.97,1242374645.0
2024-09-13,28.2937,28.873,28.0321,28.5927,495974.43,1520857906.0
2024-09-18,28.602,29.1533,28.602,29.0692,418540.27,1295345114.0
2024-09-19,29.1533,29.1814,28.6207,28.7983,451191.26,1393040942.0
2024-09-20,28.7983,29.0692,28.6488,28.9104,487417.55,1505998312.0
2024-09-23,28.8263,29.4243,28.8169,29.3309,344608.72,1076332365.0
2024-09-24,29.6018,30.9661,29.5925,30.9567,1361218.0,4427310186.0
2024-09-25,31.6295,32.2275,31.4893,31.9098,1856242.79,6327661421.0
2024-09-26,31.9192,33.0591,31.6856,33.0591,1745329.99,6068657572.0
2024-09-27,33.7412,34.1057,32.62,33.2927,745457.82,2653812670.0
2024-09-30,33.9655,35.5073,33.5637,35.1428,2561012.6,9443438268.0
2024-10-08,38.6562,38.6562,36.2735,37.3761,2973038.68,11999361938.0
2024-10-09,37.0957,37.1144,34.5822,34.5822,1855932.1,7113813985.0
2024-10-10,34.9466,36.9089,34.9466,36.1894,1433298.41,5528664144.0
2024-10-11,36.1894,36.6472,35.5353,35.9091,903475.8,3498241860.0
2024-10-14,36.451,37.1892,36.152,36.75,1292938.39,5076841420.0
2024-10-15,36.6005,37.3667,35.9745,35.9745,955976.53,3755705942.0
2024-10-16,35.6474,36.9089,35.6287,36.9089,1012548.15,3963555265.0
2024-10-17,36.9369,37.1798,35.9651,35.9651,848922.28,3315820471.0
2024-10-18,35.9838,36.8435,35.7035,36.4884,928194.33,3603949498.0
2024-10-21,36.5818,36.5818,35.9745,36.3015,717539.46,2780905731.0
2024-10-22,36.2922,37.0023,36.2081,36.6005,600526.1,2352800199.0
2024-10-23,36.4977,37.32,36.4604,37.0584,627099.68,2482861345.0
2024-10-24,36.9556,37.0771,36.5725,36.7313,336312.2,1323826643.0
2024-10-25,36.6753,36.8995,36.4977,36.5351,447931.19,1756222719.0
2024-10-28,36.451,36.5351,35.7689,35.9932,664640.94,2559210507.0
2024-10-29,36.0679,36.5351,35.8904,36.0679,514681.61,1990283154.0
2024-10-30,35.9838,36.3482,35.1428,35.3951,703408.28,2680423056.0
2024-10-31,35.3204,35.4979,34.4888,34.9092,850392.51,3173924099.0
2024-11-01,34.984,35.7876,34.9279,35.5166,703102.11,2671523515.0
